Artist Name,Artist Slug,Death Year,Artwork Title,Artwork Slug,WikiArt URL,Estimated Image URL,Museum Location,Notes
"Claude Monet",claude-monet,1926,"View At Rouelles Le Havre",view-at-rouelles-le-havre,https://www.wikiart.org/en/claude-monet/view-at-rouelles-le-havre,https://uploads2.wikiart.org/images/claude-monet/view-at-rouelles-le-havre.jpg,,
"Claude Monet",claude-monet,1926,"A Corner of the Studio",a-corner-of-the-studio,https://www.wikiart.org/en/claude-monet/a-corner-of-the-studio,https://uploads2.wikiart.org/images/claude-monet/a-corner-of-the-studio.jpg,,
"Claude Monet",claude-monet,1926,"Trophies of the Hunt",trophies-of-the-hunt,https://www.wikiart.org/en/claude-monet/trophies-of-the-hunt,https://uploads2.wikiart.org/images/claude-monet/trophies-of-the-hunt.jpg,,
"Claude Monet",claude-monet,1926,"A Farmyard in Normandy",a-farmyard-in-normandy,https://www.wikiart.org/en/claude-monet/a-farmyard-in-normandy,https://uploads2.wikiart.org/images/claude-monet/a-farmyard-in-normandy.jpg,,
"Claude Monet",claude-monet,1926,"Still Life With Bottles",still-life-with-bottles-1863,https://www.wikiart.org/en/claude-monet/still-life-with-bottles-1863,https://uploads2.wikiart.org/images/claude-monet/still-life-with-bottles-1863.jpg,,
"Claude Monet",claude-monet,1926,"Boatyard near Honfleur",boatyard-near-honfleur,https://www.wikiart.org/en/claude-monet/boatyard-near-honfleur,https://uploads2.wikiart.org/images/claude-monet/boatyard-near-honfleur.jpg,,
"Claude Monet",claude-monet,1926,"By the Sea",by-the-sea,https://www.wikiart.org/en/claude-monet/by-the-sea,https://uploads2.wikiart.org/images/claude-monet/by-the-sea.jpg,,
"Claude Monet",claude-monet,1926,"Farm near Honfleur",farm-near-honfleur,https://www.wikiart.org/en/claude-monet/farm-near-honfleur,https://uploads2.wikiart.org/images/claude-monet/farm-near-honfleur.jpg,,
"Claude Monet",claude-monet,1926,"Hauling a Boat Ashore, Honfleur",hauling-a-boat-ashore-honfleur,https://www.wikiart.org/en/claude-monet/hauling-a-boat-ashore-honfleur,https://uploads2.wikiart.org/images/claude-monet/hauling-a-boat-ashore-honfleur.jpg,,
"Claude Monet",claude-monet,1926,"Lighthouse at the Hospice",lighthouse-at-the-hospice,https://www.wikiart.org/en/claude-monet/lighthouse-at-the-hospice,https://uploads2.wikiart.org/images/claude-monet/lighthouse-at-the-hospice.jpg,,
