Artist Name,Artist Slug,Death Year,Artwork Title,Artwork Slug,WikiArt URL,Image URL,Museum Location,Notes
"Rembrandt van Rijn",rembrandt,1669,"Peter and John at the gate of the Temple",peter-and-john-at-the-gate-of-the-temple-1629,https://www.wikiart.org/en/rembrandt/peter-and-john-at-the-gate-of-the-temple-1629,https://uploads2.wikiart.org/images/rembrandt/peter-and-john-at-the-gate-of-the-temple-1629.jpg,"National Gallery, London","Wikipedia"
"Rembrandt van Rijn",rembrandt,1669,"Seated beggar and his dog",seated-beggar-and-his-dog-1629,https://www.wikiart.org/en/rembrandt/seated-beggar-and-his-dog-1629,https://uploads2.wikiart.org/images/rembrandt/seated-beggar-and-his-dog-1629.jpg,"National Gallery, London","Wikipedia"
"Rembrandt van Rijn",rembrandt,1669,"The blindness of Tobit",the-blindness-of-tobit-1629,https://www.wikiart.org/en/rembrandt/the-blindness-of-tobit-1629,https://uploads2.wikiart.org/images/rembrandt/the-blindness-of-tobit-1629.jpg,"Cleveland Museum of Art","Cleveland API"
"Rembrandt van Rijn",rembrandt,1669,"A Study of a Woman Asleep",a-study-of-a-woman-asleep-1630,https://www.wikiart.org/en/rembrandt/a-study-of-a-woman-asleep-1630,https://uploads2.wikiart.org/images/rembrandt/a-study-of-a-woman-asleep-1630.jpg,"National Gallery, London","Wikipedia"
"Rembrandt van Rijn",rembrandt,1669,"An Old Man with a Beard",an-old-man-with-a-beard-1630,https://www.wikiart.org/en/rembrandt/an-old-man-with-a-beard-1630,https://uploads2.wikiart.org/images/rembrandt/an-old-man-with-a-beard-1630.jpg,"Art Institute of Chicago, London","Wikipedia"
"Rembrandt van Rijn",rembrandt,1669,"Beggar leaning on a stick, facing left",beggar-leaning-on-a-stick-facing-left-1630,https://www.wikiart.org/en/rembrandt/beggar-leaning-on-a-stick-facing-left-1630,https://uploads2.wikiart.org/images/rembrandt/beggar-leaning-on-a-stick-facing-left-1630.jpg,"National Gallery, London","Wikipedia"
"Rembrandt van Rijn",rembrandt,1669,"Beggar Woman Leaning on a Stick",beggar-woman-leaning-on-a-stick-1630,https://www.wikiart.org/en/rembrandt/beggar-woman-leaning-on-a-stick-1630,https://uploads2.wikiart.org/images/rembrandt/beggar-woman-leaning-on-a-stick-1630.jpg,"National Gallery, London","Wikipedia"
"Rembrandt van Rijn",rembrandt,1669,"Christ disputing with the doctors",christ-disputing-with-the-doctors-1630,https://www.wikiart.org/en/rembrandt/christ-disputing-with-the-doctors-1630,https://uploads2.wikiart.org/images/rembrandt/christ-disputing-with-the-doctors-1630.jpg,"Cleveland Museum of Art","Cleveland API"
"Rembrandt van Rijn",rembrandt,1669,"Jesus Disputing with the Doctors",jesus-disputing-with-the-doctors-1630,https://www.wikiart.org/en/rembrandt/jesus-disputing-with-the-doctors-1630,https://uploads2.wikiart.org/images/rembrandt/jesus-disputing-with-the-doctors-1630.jpg,"collection of the Louvre in Paris since 1857","Wikipedia"
"Rembrandt van Rijn",rembrandt,1669,"Ragged peasant with his hands behind him, holding a stick",ragged-peasant-with-his-hands-behind-him-holding-a-stick-1630,https://www.wikiart.org/en/rembrandt/ragged-peasant-with-his-hands-behind-him-holding-a-stick-1630,https://uploads2.wikiart.org/images/rembrandt/ragged-peasant-with-his-hands-behind-him-holding-a-stick-1630.jpg,"Art Institute of Chicago","AIC API"
