Artist Name,Artist Slug,Death Year,Artwork Title,Artwork Slug,WikiArt URL,Estimated Image URL,Museum Location,Notes
"Johannes Vermeer",johannes-vermeer,1675,"Diana and her Companions",diana-and-her-companions,https://www.wikiart.org/en/johannes-vermeer/diana-and-her-companions,https://uploads2.wikiart.org/images/johannes-vermeer/diana-and-her-companions.jpg,"Mauritshuis",
"Johannes Vermeer",johannes-vermeer,1675,"Christ in the House of Martha and Mary",christ-in-the-house-of-martha-and-mary,https://www.wikiart.org/en/johannes-vermeer/christ-in-the-house-of-martha-and-mary,https://uploads2.wikiart.org/images/johannes-vermeer/christ-in-the-house-of-martha-and-mary.jpg,"Scottish National Gallery","One of the largest and earliest surviving Vermeer paintings"
"Johannes Vermeer",johannes-vermeer,1675,"Saint Praxedis",saint-praxedis,https://www.wikiart.org/en/johannes-vermeer/saint-praxedis,https://uploads2.wikiart.org/images/johannes-vermeer/saint-praxedis.jpg,"National Museum of Western Art","Attribution disputed"
"Johannes Vermeer",johannes-vermeer,1675,"The Procuress",the-procuress-1656,https://www.wikiart.org/en/johannes-vermeer/the-procuress-1656,https://uploads2.wikiart.org/images/johannes-vermeer/the-procuress-1656.jpg,"Gemäldegalerie Alte Meister Dresden",
"Johannes Vermeer",johannes-vermeer,1675,"Girl Reading a Letter at an Open Window",girl-reading-a-letter-at-an-open-window-1657,https://www.wikiart.org/en/johannes-vermeer/girl-reading-a-letter-at-an-open-window-1657,https://uploads2.wikiart.org/images/johannes-vermeer/girl-reading-a-letter-at-an-open-window-1657.jpg,"Gemäldegalerie Alte Meister Dresden","Cupid revealed in 2021 restoration"
"Johannes Vermeer",johannes-vermeer,1675,"A Maid Asleep",a-maid-asleep,https://www.wikiart.org/en/johannes-vermeer/a-maid-asleep,https://uploads2.wikiart.org/images/johannes-vermeer/a-maid-asleep.jpg,"Metropolitan Museum of Art",
"Johannes Vermeer",johannes-vermeer,1675,"Officer and Laughing Girl",officer-and-laughing-girl,https://www.wikiart.org/en/johannes-vermeer/officer-and-laughing-girl,https://uploads2.wikiart.org/images/johannes-vermeer/officer-and-laughing-girl.jpg,"Frick Collection",
"Johannes Vermeer",johannes-vermeer,1675,"The Girl with the Wine Glass",a-lady-and-two-gentlemen,https://www.wikiart.org/en/johannes-vermeer/a-lady-and-two-gentlemen,https://uploads2.wikiart.org/images/johannes-vermeer/a-lady-and-two-gentlemen.jpg,"Herzog Anton Ulrich Museum",
"Johannes Vermeer",johannes-vermeer,1675,"The Little Street",the-little-street,https://www.wikiart.org/en/johannes-vermeer/the-little-street,https://uploads2.wikiart.org/images/johannes-vermeer/the-little-street.jpg,"Rijksmuseum",
"Johannes Vermeer",johannes-vermeer,1675,"The Glass of Wine",the-glass-of-wine,https://www.wikiart.org/en/johannes-vermeer/the-glass-of-wine,https://uploads2.wikiart.org/images/johannes-vermeer/the-glass-of-wine.jpg,"Gemäldegalerie Berlin",
"Johannes Vermeer",johannes-vermeer,1675,"Girl Interrupted at Her Music",girl-interrupted-at-her-music,https://www.wikiart.org/en/johannes-vermeer/girl-interrupted-at-her-music,https://uploads2.wikiart.org/images/johannes-vermeer/girl-interrupted-at-her-music.jpg,"Frick Collection",
"Johannes Vermeer",johannes-vermeer,1675,"View of Delft",view-on-delft,https://www.wikiart.org/en/johannes-vermeer/view-on-delft,https://uploads2.wikiart.org/images/johannes-vermeer/view-on-delft.jpg,"Mauritshuis",
"Johannes Vermeer",johannes-vermeer,1675,"Young Woman with a Pearl Necklace",young-woman-with-a-pearl-necklace,https://www.wikiart.org/en/johannes-vermeer/young-woman-with-a-pearl-necklace,https://uploads2.wikiart.org/images/johannes-vermeer/young-woman-with-a-pearl-necklace.jpg,"Gemäldegalerie Berlin",
"Johannes Vermeer",johannes-vermeer,1675,"The Concert",the-concert,https://www.wikiart.org/en/johannes-vermeer/the-concert,https://uploads2.wikiart.org/images/johannes-vermeer/the-concert.jpg,"Isabella Stewart Gardner Museum","STOLEN March 18 1990 - Still missing"
"Johannes Vermeer",johannes-vermeer,1675,"Woman with a Lute",woman-with-a-lute,https://www.wikiart.org/en/johannes-vermeer/woman-with-a-lute,https://uploads2.wikiart.org/images/johannes-vermeer/woman-with-a-lute.jpg,"Metropolitan Museum of Art",
"Johannes Vermeer",johannes-vermeer,1675,"The Music Lesson",a-lady-at-the-virginals-with-a-gentleman-1665,https://www.wikiart.org/en/johannes-vermeer/a-lady-at-the-virginals-with-a-gentleman-1665,https://uploads2.wikiart.org/images/johannes-vermeer/a-lady-at-the-virginals-with-a-gentleman-1665.jpg,"Royal Collection",
"Johannes Vermeer",johannes-vermeer,1675,"Young Woman with a Water Pitcher",young-woman-with-a-water-pitcher,https://www.wikiart.org/en/johannes-vermeer/young-woman-with-a-water-pitcher,https://uploads2.wikiart.org/images/johannes-vermeer/young-woman-with-a-water-pitcher.jpg,"Metropolitan Museum of Art",
"Johannes Vermeer",johannes-vermeer,1675,"A Lady Writing",a-lady-writing,https://www.wikiart.org/en/johannes-vermeer/a-lady-writing,https://uploads2.wikiart.org/images/johannes-vermeer/a-lady-writing.jpg,"National Gallery of Art",
"Johannes Vermeer",johannes-vermeer,1675,"Girl with a Flute",girl-with-a-flute,https://www.wikiart.org/en/johannes-vermeer/girl-with-a-flute,https://uploads2.wikiart.org/images/johannes-vermeer/girl-with-a-flute.jpg,"National Gallery of Art","Now attributed to associate of Vermeer"
"Johannes Vermeer",johannes-vermeer,1675,"Girl with the Red Hat",girl-with-the-red-hat,https://www.wikiart.org/en/johannes-vermeer/girl-with-the-red-hat,https://uploads2.wikiart.org/images/johannes-vermeer/girl-with-the-red-hat.jpg,"National Gallery of Art",
"Johannes Vermeer",johannes-vermeer,1675,"Mistress and Maid",mistress-and-maid-lady-with-her-maidservant-holding-a-letter,https://www.wikiart.org/en/johannes-vermeer/mistress-and-maid-lady-with-her-maidservant-holding-a-letter,https://uploads2.wikiart.org/images/johannes-vermeer/mistress-and-maid-lady-with-her-maidservant-holding-a-letter.jpg,"Frick Collection",
"Johannes Vermeer",johannes-vermeer,1675,"Study of a Young Woman",study-of-a-young-woman,https://www.wikiart.org/en/johannes-vermeer/study-of-a-young-woman,https://uploads2.wikiart.org/images/johannes-vermeer/study-of-a-young-woman.jpg,"Metropolitan Museum of Art",
"Johannes Vermeer",johannes-vermeer,1675,"The Astronomer",the-astronomer-1668,https://www.wikiart.org/en/johannes-vermeer/the-astronomer-1668,https://uploads2.wikiart.org/images/johannes-vermeer/the-astronomer-1668.jpg,"Louvre",
"Johannes Vermeer",johannes-vermeer,1675,"The Geographer",the-geographer,https://www.wikiart.org/en/johannes-vermeer/the-geographer,https://uploads2.wikiart.org/images/johannes-vermeer/the-geographer.jpg,"Städel Museum",
"Johannes Vermeer",johannes-vermeer,1675,"The Love Letter",the-love-letter,https://www.wikiart.org/en/johannes-vermeer/the-love-letter,https://uploads2.wikiart.org/images/johannes-vermeer/the-love-letter.jpg,"Rijksmuseum",
"Johannes Vermeer",johannes-vermeer,1675,"Lady Writing a Letter with Her Maid",lady-writing-a-letter-with-her-maid,https://www.wikiart.org/en/johannes-vermeer/lady-writing-a-letter-with-her-maid,https://uploads2.wikiart.org/images/johannes-vermeer/lady-writing-a-letter-with-her-maid.jpg,"National Gallery of Ireland",
"Johannes Vermeer",johannes-vermeer,1675,"A Lady Standing at a Virginal",a-lady-standing-at-a-virginal,https://www.wikiart.org/en/johannes-vermeer/a-lady-standing-at-a-virginal,https://uploads2.wikiart.org/images/johannes-vermeer/a-lady-standing-at-a-virginal.jpg,"National Gallery London",
"Johannes Vermeer",johannes-vermeer,1675,"A Young Woman Seated at a Virginal",a-young-woman-seated-at-a-virginal-a-lady-seated-at-a-virginal,https://www.wikiart.org/en/johannes-vermeer/a-young-woman-seated-at-a-virginal-a-lady-seated-at-a-virginal,https://uploads2.wikiart.org/images/johannes-vermeer/a-young-woman-seated-at-a-virginal-a-lady-seated-at-a-virginal.jpg,"National Gallery London",
"Johannes Vermeer",johannes-vermeer,1675,"The Guitar Player",youg-woman-playing-a-guitar,https://www.wikiart.org/en/johannes-vermeer/youg-woman-playing-a-guitar,https://uploads2.wikiart.org/images/johannes-vermeer/youg-woman-playing-a-guitar.jpg,"Kenwood House",
"Johannes Vermeer",johannes-vermeer,1675,"Allegory of the Catholic Faith",allegory-on-faith,https://www.wikiart.org/en/johannes-vermeer/allegory-on-faith,https://uploads2.wikiart.org/images/johannes-vermeer/allegory-on-faith.jpg,"Metropolitan Museum of Art",
"Johannes Vermeer",johannes-vermeer,1675,"A Young Woman Seated at the Virginals",a-young-woman-seated-at-the-virginals-a-young-woman-seated-at-the-virginal,https://www.wikiart.org/en/johannes-vermeer/a-young-woman-seated-at-the-virginals-a-young-woman-seated-at-the-virginal,https://uploads2.wikiart.org/images/johannes-vermeer/a-young-woman-seated-at-the-virginals-a-young-woman-seated-at-the-virginal.jpg,"Leiden Collection","Attribution debated"
